Date, Open, High, Low,Close
2004/8/21,6885.32,6942.22,6884.79,6942.22
2004/7/21,6823.55,6898.38,6823.55,6885.32
2004/6/21,6737.3,6843.73,6737.3,6823.55
2004/5/21,6713.63,6766.52,6713.63,6737.3
2004/2/21,6713.63,6766.52,6713.63,6737.3
2004/1/21,6713.63,6766.52,6713.63,6737.3
03/31/21,6772.12,6775.67,6713.63,6713.63
03/30/21,6736.17,6792.23,6729.46,6772.12
03/29/21,6740.59,6758.78,6705.42,6736.17
03/26/21,6674.83,6742.14,6674.83,6740.59
03/25/21,6712.89,6729.92,6618.61,6674.83
03/24/21,6699.19,6722.61,6649.37,6712.89
03/23/21,6726.1,6726.1,6664.76,6699.19
03/22/21,6708.71,6732.67,6650.96,6726.1
03/19/21,6779.68,6779.68,6664.56,6708.71
03/18/21,6762.67,6791.76,6740.53,6779.68
03/17/21,6803.61,6805.73,6753.82,6762.67
03/16/21,6749.7,6812.78,6749.64,6803.61
03/15/21,6761.47,6804.91,6723.67,6749.7
2003/12/21,6736.96,6766.44,6709,6761.47
2003/11/21,6725.6,6755.32,6699.34,6736.96
2003/10/21,6730.34,6740.77,6677.02,6725.6
2003/9/21,6719.13,6786.8,6689.9,6730.34
2003/8/21,6630.52,6726.4,6612.74,6719.13
2003/5/21,6650.88,6710.8,6560.79,6630.52
2003/4/21,6675.47,6675.47,6581.19,6650.88
2003/3/21,6613.75,6705.3,6613.75,6675.47
2003/2/21,6588.53,6660.82,6560.91,6613.75
2003/1/21,6483.43,6612.74,6483.43,6588.53
02/26/21,6651.96,6651.96,6465.57,6483.43
02/25/21,6658.97,6702.88,6644.68,6651.96
02/24/21,6625.94,6669.86,6572.28,6658.97
02/23/21,6612.24,6675.42,6555.88,6625.94
02/22/21,6624.02,6624.71,6545.93,6612.24
02/19/21,6617.15,6646.16,6600.59,6624.02
02/18/21,6710.9,6721.76,6591.43,6617.15
02/17/21,6748.86,6760.29,6701.59,6710.9
02/16/21,6756.11,6799.92,6736.85,6748.86
02/15/21,6589.79,6775.37,6589.79,6756.11
2002/12/21,6528.72,6589.79,6485.13,6589.79
2002/11/21,6524.36,6554.15,6514.92,6528.72
